vertices,neighbours,initial_pos,player_id,map_id
"(476, 736)","[(476, 756), (456, 736)]",,,
"(476, 756)","[(476, 776), (476, 736)]",,,
"(476, 776)","[(496, 776), (476, 756)]",,,
"(496, 776)","[(516, 776), (476, 776)]",,,
"(516, 776)","[(496, 776), (536, 776)]",,,
"(536, 776)","[(516, 776), (556, 776)]",,,
"(556, 776)","[(576, 776), (536, 776)]",,,
"(576, 776)","[(596, 776), (556, 776)]",,,
"(596, 776)","[(576, 776), (616, 776)]",,,
"(616, 776)","[(596, 776), (636, 776)]",,,
"(636, 776)","[(656, 776), (616, 776)]",,,
"(656, 776)","[(676, 776), (636, 776)]",,,
"(676, 776)","[(656, 776), (696, 776)]",,,
"(696, 776)","[(676, 776), (716, 776)]",,,
"(716, 776)","[(736, 776), (696, 776)]",,,
"(736, 776)","[(736, 756), (716, 776)]",,,
"(736, 756)","[(736, 776), (736, 736)]",,,
"(736, 736)","[(736, 756), (736, 716)]",,,
"(736, 716)","[(736, 696), (736, 736)]",,,
"(736, 696)","[(736, 676), (736, 716)]",,,
"(736, 676)","[(736, 696), (736, 656)]",,,
"(736, 656)","[(736, 676), (736, 636)]",,,
"(736, 636)","[(736, 616), (736, 656)]",,,
"(736, 616)","[(756, 616), (736, 636)]",,,
"(756, 616)","[(776, 616), (736, 616)]",,,
"(776, 616)","[(776, 596), (756, 616)]",,,
"(776, 596)","[(776, 616), (776, 576)]",,,
"(776, 576)","[(776, 596), (776, 556)]",,,
"(776, 556)","[(776, 536), (776, 576)]",,,
"(776, 536)","[(776, 516), (776, 556)]",,,
"(776, 516)","[(776, 536), (776, 496)]",,,
"(776, 496)","[(776, 516), (756, 496)]",,,
"(756, 496)","[(736, 496), (776, 496)]",,,
"(736, 496)","[(736, 476), (756, 496), (736, 516)]",,,
"(736, 476)","[(736, 496), (736, 456)]",,,
"(736, 456)","[(736, 476), (736, 436)]",,,
"(736, 436)","[(736, 416), (736, 456)]",,,
"(736, 416)","[(736, 396), (736, 436)]",,,
"(736, 396)","[(736, 416), (736, 376)]",,,
"(736, 376)","[(736, 396), (736, 356)]",,,
"(736, 356)","[(736, 336), (736, 376)]",,,
"(736, 336)","[(736, 316), (736, 356)]",,,
"(736, 316)","[(736, 336), (756, 316)]",,,
"(756, 316)","[(736, 316)]",,,
"(736, 516)","[(736, 496), (736, 536)]",,,
"(736, 536)","[(736, 556), (736, 516)]",,,
"(736, 556)","[(736, 576), (736, 536)]",,,
"(736, 576)","[(736, 596), (736, 556)]",,,
"(736, 596)","[(736, 576), (716, 596)]",,,
"(716, 596)","[(736, 596), (696, 596)]",,,
"(696, 596)","[(676, 596), (716, 596)]",,,
"(676, 596)","[(656, 596), (696, 596)]",,,
"(656, 596)","[(676, 596), (636, 596)]",,,
"(636, 596)","[(656, 596), (616, 596)]",,,
"(616, 596)","[(596, 596), (636, 596)]",,,
"(596, 596)","[(576, 596), (616, 596)]",,,
"(576, 596)","[(596, 596), (576, 576)]",,,
"(576, 576)","[(576, 596), (576, 556)]",,,
"(576, 556)","[(576, 536), (576, 576)]",,,
"(576, 536)","[(576, 516), (576, 556)]",,,
"(576, 516)","[(576, 536), (576, 496)]",,,
"(576, 496)","[(576, 516), (576, 476)]",,,
"(576, 476)","[(576, 456), (576, 496)]",,,
"(576, 456)","[(576, 436), (576, 476)]",,,
"(576, 436)","[(576, 456), (576, 416)]",,,
"(576, 416)","[(576, 436), (576, 396)]",,,
"(576, 396)","[(576, 376), (576, 416)]",,,
"(576, 376)","[(556, 376), (576, 396)]",,,
"(556, 376)","[(576, 376), (536, 376)]",,,
"(536, 376)","[(556, 376), (516, 376)]",,,
"(516, 376)","[(496, 376), (536, 376)]",,,
"(496, 376)","[(496, 356), (516, 376)]",,,
"(496, 356)","[(496, 376), (496, 336)]",,,
"(496, 336)","[(496, 356), (496, 316), (476, 336)]",,,
"(496, 316)","[(496, 336)]",,,
"(476, 336)","[(456, 336), (496, 336)]",,,
"(456, 336)","[(436, 336), (476, 336)]",,,
"(436, 336)","[(456, 336), (416, 336)]",,,
"(416, 336)","[(416, 316), (416, 356), (436, 336)]",,,
"(416, 316)","[(416, 336)]",,,
"(416, 356)","[(416, 336), (416, 376)]",,,
"(416, 376)","[(416, 396), (416, 356)]",,,
"(416, 396)","[(416, 416), (416, 376)]",,,
"(416, 416)","[(416, 396), (416, 436)]",,,
"(416, 436)","[(416, 416), (416, 456)]",,,
"(416, 456)","[(416, 476), (416, 436)]",,,
"(416, 476)","[(396, 476), (416, 456), (436, 476)]",,,
"(436, 476)","[(416, 476)]",,,
"(396, 476)","[(416, 476), (396, 496)]",,,
"(396, 496)","[(396, 516), (396, 476)]",,,
"(396, 516)","[(396, 496), (376, 516)]",,,
"(376, 516)","[(396, 516), (356, 516)]",,,
"(356, 516)","[(356, 496), (376, 516)]",,,
"(356, 496)","[(336, 496), (356, 516)]",,,
"(336, 496)","[(356, 496), (336, 476)]",,,
"(336, 476)","[(336, 496), (336, 456)]",,,
"(336, 456)","[(336, 436), (336, 476)]",,,
"(336, 436)","[(336, 416), (336, 456)]",,,
"(336, 416)","[(336, 436), (336, 396)]",,,
"(336, 396)","[(336, 416), (336, 376)]",,,
"(336, 376)","[(336, 356), (336, 396)]",,,
"(336, 356)","[(336, 336), (336, 376)]",,,
"(336, 336)","[(336, 356), (336, 316)]",,,
"(336, 316)","[(336, 336), (336, 296)]",,,
"(336, 296)","[(336, 276), (336, 316)]",,,
"(336, 276)","[(336, 256), (336, 296)]",,,
"(336, 256)","[(336, 276), (336, 236)]",,,
"(336, 236)","[(336, 256), (336, 216)]",,,
"(336, 216)","[(336, 196), (336, 236)]",,,
"(336, 196)","[(336, 176), (336, 216)]",,,
"(336, 176)","[(336, 196), (336, 156)]",,,
"(336, 156)","[(336, 176), (336, 136)]",,,
"(336, 136)","[(336, 116), (336, 156)]",,,
"(336, 116)","[(336, 96), (336, 136)]",,,
"(336, 96)","[(336, 116), (336, 76)]",,,
"(336, 76)","[(336, 96), (316, 76)]",,,
"(316, 76)","[(296, 76), (336, 76)]",,,
"(296, 76)","[(276, 76), (316, 76)]",,,
"(276, 76)","[(296, 76), (256, 76)]",,,
"(256, 76)","[(276, 76), (256, 96), (256, 56)]",,,
"(256, 96)","[(256, 116), (256, 76)]",,,
"(256, 116)","[(256, 136), (256, 96)]",,,
"(256, 136)","[(256, 116), (256, 156)]",,,
"(256, 156)","[(256, 136)]",,,
"(256, 56)","[(236, 56), (256, 76)]",,,
"(236, 56)","[(216, 56), (256, 56)]",,,
"(216, 56)","[(236, 56), (196, 56)]",,,
"(196, 56)","[(176, 56), (216, 56)]",,,
"(176, 56)","[(176, 76), (156, 56), (196, 56)]",,,
"(156, 56)","[(176, 56)]",,,
"(176, 76)","[(176, 56), (176, 96)]",,,
"(176, 96)","[(176, 116), (176, 76)]",,,
"(176, 116)","[(176, 96), (176, 136)]",,,
"(176, 136)","[(176, 116), (176, 156)]",,,
"(176, 156)","[(176, 176), (176, 136)]",,,
"(176, 176)","[(176, 196), (176, 156)]",,,
"(176, 196)","[(176, 176), (176, 216)]",,,
"(176, 216)","[(176, 196), (176, 236)]",,,
"(176, 236)","[(176, 256), (176, 216)]",,,
"(176, 256)","[(176, 276), (176, 236)]",,,
"(176, 276)","[(176, 256), (176, 296)]",,,
"(176, 296)","[(176, 276), (176, 316)]",,,
"(176, 316)","[(176, 336), (176, 296)]",,,
"(176, 336)","[(176, 356), (176, 316)]",,,
"(176, 356)","[(176, 336), (176, 376)]",,,
"(176, 376)","[(176, 356), (196, 376)]",,,
"(196, 376)","[(216, 376), (176, 376)]",,,
"(216, 376)","[(236, 376), (196, 376)]",,,
"(236, 376)","[(216, 376), (256, 376)]",,,
"(256, 376)","[(236, 376), (256, 396)]",,,
"(256, 396)","[(256, 416), (256, 376)]",,,
"(256, 416)","[(256, 436), (256, 396)]",,,
"(256, 436)","[(256, 416), (256, 456)]",,,
"(256, 456)","[(256, 436), (256, 476)]",,,
"(256, 476)","[(256, 496), (256, 456)]",,,
"(256, 496)","[(256, 516), (256, 476)]",,,
"(256, 516)","[(256, 496), (256, 536)]",,,
"(256, 536)","[(256, 516), (256, 556)]",,,
"(256, 556)","[(256, 576), (256, 536)]",,,
"(256, 576)","[(256, 596), (256, 556)]",,,
"(256, 736)","[(256, 716), (256, 756)]",,,
"(256, 756)","[(256, 736), (276, 756)]",,,
"(276, 756)","[(296, 756), (256, 756)]",,,
"(296, 756)","[(316, 756), (276, 756)]",,,
"(316, 756)","[(296, 756), (336, 756)]",,,
"(336, 756)","[(316, 756), (356, 756)]",,,
"(356, 756)","[(376, 756), (336, 756)]",,,
"(376, 756)","[(396, 756), (356, 756)]",,,
"(396, 756)","[(376, 756), (396, 776)]",,,
"(396, 776)","[(396, 756)]",,,
