vertices,neighbours,initial_pos,player_id,map_id
"(256, 236)","[(256, 216), (256, 256)]",,,
"(256, 216)","[(256, 236), (256, 196)]",,,
"(256, 196)","[(256, 216), (256, 176)]",,,
"(256, 176)","[(256, 156), (256, 196)]",,,
"(256, 156)","[(256, 136), (256, 176)]",,,
"(256, 136)","[(256, 156), (256, 116)]",,,
"(256, 116)","[(256, 136), (256, 96)]",,,
"(256, 96)","[(256, 76), (256, 116)]",,,
"(256, 76)","[(276, 76), (256, 96)]",,,
"(276, 76)","[(296, 76), (256, 76)]",,,
"(296, 76)","[(276, 76), (316, 76)]",,,
"(316, 76)","[(296, 76), (336, 76)]",,,
"(336, 76)","[(336, 96), (336, 56), (316, 76)]",,,
"(336, 96)","[(336, 76)]",,,
"(336, 56)","[(356, 56), (336, 76), (316, 56)]",,,
"(316, 56)","[(296, 56), (336, 56)]",,,
"(296, 56)","[(276, 56), (316, 56)]",,,
"(276, 56)","[(256, 56), (296, 56)]",,,
"(256, 56)","[(276, 56), (256, 36), (236, 56)]",,,
"(236, 56)","[(256, 56), (216, 56)]",,,
"(216, 56)","[(196, 56), (236, 56)]",,,
"(196, 56)","[(176, 56), (216, 56)]",,,
"(176, 56)","[(176, 36), (196, 56), (176, 76)]",,,
"(176, 76)","[(176, 56), (176, 96)]",,,
"(176, 96)","[(176, 116), (176, 76)]",,,
"(176, 116)","[(176, 96)]",,,
"(176, 36)","[(176, 56), (176, 16)]",,,
"(176, 16)","[(176, 36), (196, 16)]",,,
"(196, 16)","[(216, 16), (176, 16)]",,,
"(216, 16)","[(236, 16), (196, 16)]",,,
"(236, 16)","[(216, 16), (256, 16)]",,,
"(256, 16)","[(236, 16), (256, 36)]",,,
"(256, 36)","[(256, 56), (256, 16)]",,,
"(356, 56)","[(376, 56), (336, 56)]",,,
"(376, 56)","[(356, 56), (376, 76)]",,,
"(376, 76)","[(376, 56), (396, 76)]",,,
"(396, 76)","[(396, 96), (376, 76)]",,,
"(396, 96)","[(416, 96), (396, 76)]",,,
"(416, 96)","[(396, 96), (416, 116)]",,,
"(416, 116)","[(416, 136), (416, 96)]",,,
"(416, 136)","[(416, 116), (416, 156)]",,,
"(416, 156)","[(416, 136), (416, 176)]",,,
"(416, 176)","[(416, 196), (416, 156)]",,,
"(416, 196)","[(416, 216), (416, 176)]",,,
"(416, 216)","[(416, 196), (416, 236)]",,,
"(416, 236)","[(416, 216), (416, 256)]",,,
"(416, 256)","[(416, 276), (416, 236)]",,,
"(416, 276)","[(416, 296), (416, 256)]",,,
"(416, 296)","[(416, 276), (416, 316)]",,,
"(416, 316)","[(416, 296), (416, 336)]",,,
"(416, 336)","[(416, 356), (416, 316)]",,,
"(416, 356)","[(416, 376), (416, 336)]",,,
"(416, 376)","[(416, 356), (416, 396)]",,,
"(416, 396)","[(416, 376), (416, 416)]",,,
"(416, 416)","[(416, 436), (416, 396)]",,,
"(416, 436)","[(416, 456), (416, 416)]",,,
"(416, 456)","[(416, 436), (416, 476)]",,,
"(416, 476)","[(416, 456), (436, 476)]",,,
"(436, 476)","[(456, 476), (416, 476)]",,,
"(456, 476)","[(476, 476), (436, 476)]",,,
"(476, 476)","[(456, 476), (496, 476)]",,,
"(496, 476)","[(476, 476), (496, 496)]",,,
"(496, 496)","[(496, 516), (496, 476)]",,,
"(496, 516)","[(496, 536), (496, 496)]",,,
"(496, 536)","[(496, 516), (516, 536)]",,,
"(516, 536)","[(496, 536), (536, 536)]",,,
"(536, 536)","[(556, 536), (516, 536)]",,,
"(556, 536)","[(576, 536), (536, 536)]",,,
"(576, 536)","[(556, 536), (576, 516)]",,,
"(576, 516)","[(576, 536), (576, 496)]",,,
"(576, 496)","[(576, 476), (576, 516)]",,,
"(576, 476)","[(576, 456), (576, 496)]",,,
"(576, 456)","[(576, 476), (576, 436)]",,,
"(576, 436)","[(576, 456), (576, 416)]",,,
"(576, 416)","[(596, 416), (576, 436)]",,,
"(596, 416)","[(616, 416), (576, 416)]",,,
"(616, 416)","[(596, 416), (636, 416)]",,,
"(636, 416)","[(616, 416), (656, 416)]",,,
"(656, 416)","[(656, 396), (636, 416)]",,,
"(656, 396)","[(656, 376), (656, 416)]",,,
"(656, 376)","[(656, 396), (656, 356)]",,,
"(656, 356)","[(656, 336), (656, 376)]",,,
"(656, 336)","[(656, 356), (656, 316)]",,,
"(656, 316)","[(656, 336), (656, 296)]",,,
"(656, 296)","[(656, 276), (656, 316)]",,,
"(656, 276)","[(656, 256), (656, 296)]",,,
"(656, 256)","[(656, 276), (656, 236)]",,,
"(656, 236)","[(656, 256), (656, 216)]",,,
"(656, 216)","[(676, 216), (656, 236)]",,,
"(676, 216)","[(696, 216), (656, 216)]",,,
"(696, 216)","[(676, 216), (716, 216)]",,,
"(716, 216)","[(696, 216), (736, 216)]",,,
"(736, 216)","[(736, 236), (716, 216)]",,,
"(736, 236)","[(736, 256), (736, 216)]",,,
"(736, 256)","[(736, 236), (736, 276)]",,,
"(736, 276)","[(736, 256), (736, 296)]",,,
"(736, 296)","[(736, 316), (736, 276)]",,,
"(736, 316)","[(756, 316), (736, 336), (736, 296)]",,,
"(756, 316)","[(736, 316)]",,,
"(736, 336)","[(736, 316), (736, 356)]",,,
"(736, 356)","[(736, 376), (736, 336)]",,,
"(736, 376)","[(736, 396), (736, 356)]",,,
"(736, 396)","[(736, 376), (736, 416)]",,,
"(736, 416)","[(736, 396), (736, 436)]",,,
"(736, 436)","[(736, 456), (736, 416)]",,,
"(736, 456)","[(736, 476), (736, 436)]",,,
"(736, 476)","[(736, 456), (736, 496)]",,,
"(736, 496)","[(736, 476), (736, 516)]",,,
"(736, 516)","[(736, 536), (736, 496)]",,,
"(736, 536)","[(736, 556), (736, 516)]",,,
"(736, 556)","[(736, 536), (736, 576)]",,,
"(736, 576)","[(736, 556), (736, 596)]",,,
"(736, 596)","[(736, 616), (736, 576)]",,,
"(736, 616)","[(736, 636), (736, 596)]",,,
"(736, 636)","[(736, 616), (736, 656)]",,,
"(736, 656)","[(736, 636), (736, 676)]",,,
"(736, 676)","[(736, 696), (736, 656)]",,,
"(736, 696)","[(736, 716), (736, 676)]",,,
"(736, 716)","[(736, 696), (736, 736)]",,,
"(736, 736)","[(736, 716), (716, 736)]",,,
"(716, 736)","[(696, 736), (736, 736)]",,,
"(696, 736)","[(676, 736), (716, 736)]",,,
"(676, 736)","[(696, 736), (656, 736)]",,,
"(656, 736)","[(656, 756), (676, 736)]",,,
"(656, 756)","[(656, 736), (676, 756)]",,,
"(676, 756)","[(656, 756), (676, 776)]",,,
"(676, 776)","[(656, 776), (676, 756)]",,,
"(656, 776)","[(636, 776), (676, 776)]",,,
"(636, 776)","[(656, 776), (616, 776)]",,,
"(616, 776)","[(636, 776), (596, 776)]",,,
"(596, 776)","[(576, 776), (616, 776)]",,,
"(576, 776)","[(556, 776), (596, 776)]",,,
"(556, 776)","[(576, 776), (536, 776)]",,,
"(536, 776)","[(556, 776), (516, 776)]",,,
"(516, 776)","[(496, 776), (536, 776)]",,,
"(496, 776)","[(476, 776), (516, 776)]",,,
"(476, 776)","[(496, 776), (456, 776)]",,,
"(456, 776)","[(476, 776), (436, 776)]",,,
"(436, 776)","[(416, 776), (456, 776)]",,,
"(416, 776)","[(396, 776), (436, 776)]",,,
"(396, 776)","[(416, 776), (376, 776)]",,,
"(376, 776)","[(396, 776), (356, 776)]",,,
"(356, 776)","[(336, 776), (376, 776)]",,,
"(336, 776)","[(336, 756), (356, 776)]",,,
"(336, 756)","[(336, 736), (336, 776)]",,,
"(336, 736)","[(336, 716), (336, 756)]",,,
"(336, 716)","[(336, 736), (316, 716)]",,,
"(316, 716)","[(336, 716), (296, 716)]",,,
"(296, 716)","[(296, 736), (316, 716)]",,,
"(296, 736)","[(296, 756), (296, 716)]",,,
"(296, 756)","[(296, 736), (276, 756)]",,,
"(276, 756)","[(296, 756), (256, 756)]",,,
"(256, 756)","[(256, 736), (276, 756)]",,,
"(256, 736)","[(256, 716), (256, 756)]",,,
"(256, 716)","[(256, 736), (256, 696)]",,,
"(256, 696)","[(256, 716), (256, 676)]",,,
"(256, 676)","[(256, 656), (256, 696)]",,,
"(256, 656)","[(256, 636), (256, 676)]",,,
"(256, 636)","[(256, 656), (256, 616)]",,,
"(256, 616)","[(256, 636), (256, 596)]",,,
"(256, 596)","[(256, 576), (256, 616)]",,,
"(256, 576)","[(256, 596), (256, 556)]",,,
"(256, 556)","[(256, 576), (256, 536)]",,,
"(256, 536)","[(256, 516), (256, 556)]",,,
"(256, 516)","[(256, 496), (256, 536)]",,,
"(296, 456)","[(276, 456), (316, 456)]",,,
"(316, 456)","[(336, 456), (296, 456)]",,,
"(336, 456)","[(356, 456), (316, 456)]",,,
"(356, 456)","[(336, 456), (356, 476)]",,,
"(356, 476)","[(356, 456), (356, 496)]",,,
"(356, 496)","[(356, 516), (356, 476)]",,,
"(356, 516)","[(356, 496)]",,,
