vertices,neighbours,initial_pos,player_id,map_id
"(176, 176)","[(176, 156), (176, 196)]",,,
"(176, 156)","[(176, 176), (176, 136)]",,,
"(176, 136)","[(176, 156), (176, 116)]",,,
"(176, 116)","[(176, 136)]",,,
"(196, 256)","[(216, 256), (176, 256)]",,,
"(216, 256)","[(216, 276), (196, 256)]",,,
"(216, 276)","[(216, 256), (236, 276)]",,,
"(236, 276)","[(256, 276), (216, 276)]",,,
"(256, 276)","[(256, 296), (256, 256), (236, 276)]",,,
"(256, 296)","[(256, 276), (256, 316)]",,,
"(256, 316)","[(256, 296), (256, 336)]",,,
"(256, 336)","[(256, 356), (256, 316)]",,,
"(256, 356)","[(256, 376), (256, 336)]",,,
"(256, 376)","[(256, 356), (256, 396), (236, 376)]",,,
"(236, 376)","[(256, 376), (216, 376)]",,,
"(216, 376)","[(196, 376), (236, 376)]",,,
"(196, 376)","[(216, 376), (176, 376)]",,,
"(196, 496)","[(176, 496), (216, 496)]",,,
"(216, 496)","[(236, 496), (196, 496)]",,,
"(236, 496)","[(256, 496), (216, 496)]",,,
"(256, 496)","[(236, 496), (256, 476), (256, 516)]",,,
"(256, 516)","[(256, 496), (256, 536)]",,,
"(256, 536)","[(256, 556), (256, 516)]",,,
"(256, 556)","[(256, 536), (256, 576)]",,,
"(256, 576)","[(256, 556), (256, 596)]",,,
"(256, 476)","[(256, 496), (256, 456)]",,,
"(256, 456)","[(256, 436), (256, 476)]",,,
"(256, 436)","[(256, 456), (256, 416)]",,,
"(256, 416)","[(256, 436), (256, 396)]",,,
"(256, 396)","[(256, 376), (256, 416)]",,,
"(256, 256)","[(256, 236), (256, 276)]",,,
"(256, 236)","[(256, 256), (256, 216)]",,,
"(256, 216)","[(256, 236), (256, 196)]",,,
"(256, 196)","[(256, 176), (256, 216)]",,,
"(256, 176)","[(256, 156), (256, 196)]",,,
"(256, 156)","[(256, 176), (256, 136)]",,,
"(256, 136)","[(256, 156), (256, 116)]",,,
"(256, 116)","[(256, 96), (256, 136)]",,,
"(256, 96)","[(256, 76), (256, 116)]",,,
"(256, 76)","[(256, 96), (276, 76)]",,,
"(276, 76)","[(256, 76), (296, 76)]",,,
"(296, 76)","[(316, 76), (276, 76)]",,,
"(316, 76)","[(336, 76), (296, 76)]",,,
"(336, 76)","[(316, 76), (336, 96), (336, 56)]",,,
"(336, 96)","[(336, 76), (336, 116)]",,,
"(336, 116)","[(336, 136), (336, 96)]",,,
"(336, 136)","[(336, 156), (336, 116)]",,,
"(336, 156)","[(336, 136), (336, 176)]",,,
"(336, 176)","[(336, 156), (336, 196)]",,,
"(336, 196)","[(336, 216), (336, 176)]",,,
"(336, 216)","[(336, 236), (336, 196)]",,,
"(336, 236)","[(336, 216), (336, 256)]",,,
"(336, 256)","[(336, 236), (336, 276)]",,,
"(336, 276)","[(336, 296), (336, 256)]",,,
"(336, 296)","[(336, 316), (336, 276)]",,,
"(336, 316)","[(336, 296), (336, 336)]",,,
"(336, 336)","[(336, 316), (336, 356)]",,,
"(336, 356)","[(336, 376), (336, 336)]",,,
"(336, 376)","[(336, 396), (336, 356)]",,,
"(336, 396)","[(336, 376), (336, 416)]",,,
"(336, 416)","[(336, 396), (336, 436)]",,,
"(336, 436)","[(356, 436), (336, 456), (336, 416)]",,,
"(356, 436)","[(336, 436), (376, 436)]",,,
"(376, 436)","[(356, 436), (396, 436)]",,,
"(396, 436)","[(416, 436), (376, 436)]",,,
"(416, 436)","[(396, 436), (416, 416)]",,,
"(416, 416)","[(416, 436), (416, 396)]",,,
"(416, 396)","[(416, 376), (416, 416)]",,,
"(416, 376)","[(416, 356), (416, 396)]",,,
"(416, 356)","[(416, 376), (416, 336)]",,,
"(416, 336)","[(416, 356), (416, 316), (436, 336)]",,,
"(416, 316)","[(416, 336)]",,,
"(436, 336)","[(456, 336), (416, 336)]",,,
"(456, 336)","[(476, 336), (436, 336)]",,,
"(476, 336)","[(456, 336), (496, 336)]",,,
"(496, 336)","[(496, 356), (476, 336)]",,,
"(496, 356)","[(496, 376), (496, 336)]",,,
"(496, 376)","[(516, 376), (496, 356), (496, 396)]",,,
"(496, 396)","[(496, 376)]",,,
"(516, 376)","[(496, 376), (536, 376)]",,,
"(536, 376)","[(556, 376), (516, 376)]",,,
"(556, 376)","[(536, 376), (576, 376)]",,,
"(576, 376)","[(556, 376), (576, 356)]",,,
"(576, 356)","[(576, 336), (576, 376)]",,,
"(576, 336)","[(576, 316), (576, 356)]",,,
"(576, 316)","[(576, 336), (576, 296)]",,,
"(576, 296)","[(576, 316), (576, 276)]",,,
"(576, 276)","[(596, 276), (576, 296)]",,,
"(596, 276)","[(616, 276), (576, 276)]",,,
"(616, 276)","[(596, 276), (636, 276)]",,,
"(636, 276)","[(616, 276), (656, 276)]",,,
"(656, 276)","[(656, 256), (636, 276)]",,,
"(656, 256)","[(656, 236), (656, 276)]",,,
"(656, 236)","[(656, 256), (656, 216)]",,,
"(656, 216)","[(656, 236), (676, 216)]",,,
"(676, 216)","[(696, 216), (656, 216)]",,,
"(696, 216)","[(716, 216), (676, 216)]",,,
"(716, 216)","[(696, 216), (736, 216)]",,,
"(736, 216)","[(716, 216), (736, 236)]",,,
"(736, 236)","[(736, 256), (736, 216)]",,,
"(736, 256)","[(736, 276), (736, 236)]",,,
"(736, 276)","[(736, 256), (736, 296)]",,,
"(736, 296)","[(736, 276), (736, 316)]",,,
"(736, 316)","[(756, 316), (736, 296), (736, 336)]",,,
"(756, 316)","[(736, 316)]",,,
"(736, 336)","[(736, 356), (736, 316)]",,,
"(736, 356)","[(736, 376), (736, 336)]",,,
"(736, 376)","[(736, 356), (736, 396)]",,,
"(736, 396)","[(736, 376), (736, 416)]",,,
"(736, 416)","[(736, 436), (736, 396)]",,,
"(736, 436)","[(736, 456), (736, 416)]",,,
"(736, 456)","[(736, 436), (736, 476)]",,,
"(736, 476)","[(736, 456), (736, 496)]",,,
"(736, 496)","[(736, 516), (736, 476)]",,,
"(736, 516)","[(736, 536), (736, 496)]",,,
"(736, 536)","[(736, 516), (736, 556)]",,,
"(736, 556)","[(736, 536), (736, 576)]",,,
"(736, 576)","[(736, 596), (736, 556)]",,,
"(736, 596)","[(736, 616), (736, 576)]",,,
"(736, 616)","[(736, 596), (736, 636)]",,,
"(736, 636)","[(736, 616), (736, 656)]",,,
"(736, 656)","[(736, 676), (736, 636)]",,,
"(736, 676)","[(736, 696), (736, 656)]",,,
"(736, 696)","[(736, 676), (736, 716)]",,,
"(736, 716)","[(736, 696), (736, 736)]",,,
"(736, 736)","[(736, 756), (736, 716)]",,,
"(736, 756)","[(736, 776), (736, 736)]",,,
"(736, 776)","[(736, 756), (716, 776)]",,,
"(716, 776)","[(736, 776), (696, 776)]",,,
"(696, 776)","[(676, 776), (716, 776)]",,,
"(676, 776)","[(656, 776), (696, 776)]",,,
"(656, 776)","[(676, 776), (656, 756)]",,,
"(656, 756)","[(656, 776), (656, 736)]",,,
"(656, 736)","[(656, 716), (656, 756)]",,,
"(656, 716)","[(656, 696), (656, 736)]",,,
"(656, 696)","[(656, 716), (656, 676)]",,,
"(656, 676)","[(656, 696), (656, 656)]",,,
"(656, 656)","[(656, 636), (656, 676)]",,,
"(656, 636)","[(656, 616), (656, 656)]",,,
"(656, 616)","[(656, 636), (656, 596)]",,,
"(656, 596)","[(656, 616), (656, 576)]",,,
"(656, 576)","[(636, 576), (656, 596)]",,,
"(636, 576)","[(616, 576), (656, 576)]",,,
"(616, 576)","[(636, 576), (596, 576)]",,,
"(596, 576)","[(616, 576), (576, 576)]",,,
"(576, 576)","[(576, 556), (596, 576)]",,,
"(576, 556)","[(576, 576), (576, 536)]",,,
"(576, 536)","[(576, 556), (576, 516), (556, 536)]",,,
"(576, 516)","[(576, 536)]",,,
"(556, 536)","[(536, 536), (576, 536)]",,,
"(536, 536)","[(516, 536), (556, 536)]",,,
"(516, 536)","[(496, 536), (536, 536)]",,,
"(496, 536)","[(496, 516), (516, 536)]",,,
"(496, 516)","[(496, 536), (496, 496)]",,,
"(496, 496)","[(496, 516), (496, 476)]",,,
"(496, 476)","[(476, 476), (496, 496)]",,,
"(476, 476)","[(456, 476), (496, 476)]",,,
"(456, 476)","[(476, 476), (436, 476)]",,,
"(436, 476)","[(456, 476), (416, 476)]",,,
"(416, 476)","[(416, 496), (436, 476)]",,,
"(416, 496)","[(416, 516), (416, 476)]",,,
"(416, 516)","[(416, 496), (416, 536)]",,,
"(416, 536)","[(416, 516), (416, 556)]",,,
"(416, 556)","[(416, 576), (416, 536)]",,,
"(416, 576)","[(416, 596), (416, 556)]",,,
"(416, 596)","[(416, 576), (416, 616)]",,,
"(416, 616)","[(416, 596), (416, 636)]",,,
"(416, 636)","[(416, 656), (416, 616)]",,,
"(416, 656)","[(416, 676), (416, 636)]",,,
"(416, 676)","[(416, 656), (416, 696)]",,,
"(416, 696)","[(416, 676), (416, 716)]",,,
"(416, 716)","[(416, 736), (416, 696)]",,,
"(416, 736)","[(396, 736), (416, 716), (416, 756)]",,,
"(396, 736)","[(416, 736), (376, 736)]",,,
"(376, 736)","[(396, 736), (356, 736)]",,,
"(356, 736)","[(336, 736), (376, 736)]",,,
"(336, 736)","[(336, 716), (316, 736), (356, 736)]",,,
"(336, 716)","[(336, 736), (336, 696)]",,,
"(416, 756)","[(416, 736), (416, 776)]",,,
"(416, 776)","[(396, 776), (416, 756)]",,,
"(396, 776)","[(376, 776), (416, 776)]",,,
"(376, 776)","[(396, 776), (356, 776)]",,,
"(356, 776)","[(376, 776), (336, 776)]",,,
"(336, 776)","[(316, 776), (356, 776)]",,,
"(316, 776)","[(296, 776), (336, 776)]",,,
"(296, 776)","[(316, 776), (296, 756)]",,,
"(296, 756)","[(296, 776), (296, 736)]",,,
"(296, 736)","[(316, 736), (296, 756)]",,,
"(316, 736)","[(336, 736), (296, 736)]",,,
"(336, 696)","[(336, 716), (336, 676)]",,,
"(336, 676)","[(336, 656), (336, 696)]",,,
"(336, 656)","[(336, 676), (336, 636)]",,,
"(336, 636)","[(336, 656), (336, 616)]",,,
"(336, 616)","[(336, 596), (336, 636)]",,,
"(336, 596)","[(336, 576), (336, 616)]",,,
"(336, 576)","[(336, 596), (336, 556)]",,,
"(336, 556)","[(336, 576), (336, 536)]",,,
"(336, 536)","[(336, 516), (336, 556)]",,,
"(336, 516)","[(336, 496), (336, 536)]",,,
"(336, 496)","[(336, 516), (336, 476)]",,,
"(336, 476)","[(336, 496), (336, 456)]",,,
"(336, 456)","[(336, 436), (336, 476)]",,,
"(336, 56)","[(336, 76), (316, 56)]",,,
"(316, 56)","[(296, 56), (336, 56)]",,,
"(296, 56)","[(316, 56), (276, 56)]",,,
"(276, 56)","[(256, 56), (296, 56)]",,,
"(256, 56)","[(236, 56), (276, 56)]",,,
"(236, 56)","[(256, 56), (216, 56)]",,,
"(216, 56)","[(236, 56), (196, 56)]",,,
"(196, 56)","[(216, 56)]",,,
