vertices,neighbours,initial_pos,player_id,map_id
"(556, 536)","[(576, 536), (536, 536)]",,,
"(536, 536)","[(516, 536), (556, 536)]",,,
"(516, 536)","[(536, 536), (496, 536)]",,,
"(496, 576)","[(496, 596), (496, 556)]",,,
"(496, 596)","[(496, 616), (496, 576)]",,,
"(496, 616)","[(496, 636), (496, 596)]",,,
"(496, 636)","[(496, 656), (496, 616)]",,,
"(496, 656)","[(496, 636), (496, 676)]",,,
"(496, 676)","[(496, 696), (496, 656)]",,,
"(496, 696)","[(496, 716), (496, 676)]",,,
"(496, 716)","[(496, 696), (496, 736)]",,,
"(476, 756)","[(496, 756), (456, 756)]",,,
"(456, 756)","[(436, 756), (476, 756)]",,,
"(436, 756)","[(456, 756), (436, 736)]",,,
"(316, 736)","[(336, 736), (296, 736)]",,,
"(296, 736)","[(316, 736), (276, 736)]",,,
"(276, 736)","[(256, 736), (296, 736)]",,,
"(256, 736)","[(236, 736), (276, 736)]",,,
"(236, 736)","[(216, 736), (256, 736)]",,,
"(216, 736)","[(236, 736), (196, 736)]",,,
"(196, 736)","[(216, 736), (176, 736)]",,,
"(176, 736)","[(176, 756), (196, 736)]",,,
"(176, 756)","[(156, 756), (176, 736)]",,,
"(156, 756)","[(136, 756), (176, 756)]",,,
"(136, 756)","[(156, 756), (116, 756)]",,,
"(116, 756)","[(136, 756), (96, 756)]",,,
"(96, 756)","[(76, 756), (116, 756)]",,,
"(76, 756)","[(76, 736), (96, 756)]",,,
"(76, 736)","[(76, 756), (76, 716)]",,,
"(76, 716)","[(76, 736), (76, 696)]",,,
"(76, 696)","[(76, 716), (76, 676)]",,,
"(76, 676)","[(76, 696), (76, 656)]",,,
"(76, 656)","[(76, 636), (76, 676)]",,,
"(76, 636)","[(76, 616), (76, 656)]",,,
"(76, 616)","[(96, 616), (76, 636)]",,,
"(96, 616)","[(96, 596), (76, 616)]",,,
"(96, 596)","[(96, 616), (116, 596)]",,,
"(116, 596)","[(136, 596), (96, 596)]",,,
"(136, 596)","[(156, 596), (116, 596)]",,,
"(156, 596)","[(136, 596), (176, 596)]",,,
"(176, 556)","[(176, 576), (176, 536)]",,,
"(176, 536)","[(176, 516), (176, 556)]",,,
"(176, 516)","[(176, 536), (176, 496)]",,,
"(176, 496)","[(176, 516), (196, 496)]",,,
"(196, 496)","[(176, 496), (216, 496)]",,,
"(216, 496)","[(196, 496), (236, 496)]",,,
"(236, 496)","[(256, 496), (216, 496)]",,,
"(256, 496)","[(236, 496), (256, 476)]",,,
"(336, 536)","[(336, 556), (336, 516)]",,,
"(336, 556)","[(336, 576), (336, 536)]",,,
"(336, 576)","[(336, 556), (336, 596)]",,,
"(336, 596)","[(336, 616), (336, 576)]",,,
"(336, 616)","[(336, 636), (336, 596)]",,,
"(336, 636)","[(336, 656), (336, 616)]",,,
"(336, 656)","[(336, 636), (336, 676)]",,,
"(336, 676)","[(336, 696), (336, 656)]",,,
"(336, 696)","[(336, 676), (336, 716)]",,,
"(316, 756)","[(296, 756), (336, 756)]",,,
"(296, 756)","[(316, 756)]",,,
