vertices,neighbours,initial_pos,player_id,map_id
"(416, 736)","[(396, 736), (436, 736)]",,,
"(436, 736)","[(416, 736), (456, 736)]",,,
"(456, 736)","[(456, 716), (436, 736)]",,,
"(456, 716)","[(476, 716), (456, 736)]",,,
"(476, 716)","[(456, 716), (476, 736)]",,,
"(476, 736)","[(476, 716), (476, 756)]",,,
"(476, 756)","[(496, 756), (476, 736)]",,,
"(496, 756)","[(496, 776), (476, 756)]",,,
"(496, 776)","[(496, 756), (516, 776)]",,,
"(516, 776)","[(496, 776), (536, 776)]",,,
"(536, 776)","[(556, 776), (516, 776)]",,,
"(556, 776)","[(576, 776), (536, 776)]",,,
"(576, 776)","[(556, 776), (596, 776)]",,,
"(596, 776)","[(576, 776), (616, 776)]",,,
"(616, 776)","[(636, 776), (596, 776)]",,,
"(636, 776)","[(656, 776), (616, 776)]",,,
"(656, 776)","[(636, 776), (656, 756), (676, 776)]",,,
"(676, 776)","[(656, 776)]",,,
"(656, 756)","[(656, 776), (656, 736)]",,,
"(656, 736)","[(656, 716), (656, 756)]",,,
"(656, 716)","[(656, 696), (656, 736)]",,,
"(656, 696)","[(656, 716), (656, 676)]",,,
"(656, 676)","[(656, 696), (656, 656)]",,,
"(656, 656)","[(656, 636), (656, 676)]",,,
"(656, 636)","[(656, 616), (656, 656)]",,,
"(656, 616)","[(656, 636), (656, 596)]",,,
"(656, 596)","[(656, 616), (676, 596)]",,,
"(676, 596)","[(696, 596), (656, 596)]",,,
"(696, 596)","[(716, 596), (676, 596)]",,,
"(716, 596)","[(696, 596), (716, 576)]",,,
"(716, 576)","[(716, 596), (736, 576)]",,,
"(736, 576)","[(756, 576), (716, 576)]",,,
"(756, 576)","[(776, 576), (736, 576)]",,,
"(776, 576)","[(756, 576), (776, 556)]",,,
"(776, 556)","[(776, 536), (776, 576)]",,,
"(776, 536)","[(776, 556), (776, 516)]",,,
"(776, 516)","[(776, 536), (756, 516)]",,,
"(756, 516)","[(736, 516), (776, 516)]",,,
"(736, 516)","[(736, 496), (756, 516)]",,,
"(736, 496)","[(736, 516), (736, 476)]",,,
"(736, 476)","[(736, 496), (736, 456)]",,,
"(736, 456)","[(736, 436), (736, 476)]",,,
"(736, 436)","[(736, 416), (736, 456)]",,,
"(736, 416)","[(736, 436), (736, 396)]",,,
"(736, 396)","[(736, 416), (736, 376)]",,,
"(736, 376)","[(736, 356), (736, 396)]",,,
"(736, 356)","[(736, 336), (736, 376)]",,,
"(736, 336)","[(736, 356), (736, 316)]",,,
"(736, 316)","[(756, 316), (736, 336), (736, 296)]",,,
"(736, 296)","[(736, 276), (736, 316)]",,,
"(756, 316)","[(736, 316)]",,,
"(736, 276)","[(736, 296), (736, 256)]",,,
"(736, 256)","[(736, 276), (736, 236)]",,,
"(736, 236)","[(736, 216), (736, 256)]",,,
"(736, 216)","[(716, 216), (736, 236)]",,,
"(716, 216)","[(736, 216), (696, 216)]",,,
"(696, 216)","[(716, 216), (676, 216)]",,,
"(676, 216)","[(656, 216), (696, 216)]",,,
"(656, 216)","[(656, 236), (676, 216)]",,,
"(656, 236)","[(656, 216), (656, 256)]",,,
"(656, 256)","[(656, 236), (656, 276)]",,,
"(656, 276)","[(656, 296), (656, 256)]",,,
"(656, 296)","[(656, 316), (656, 276)]",,,
"(656, 316)","[(656, 296), (656, 336)]",,,
"(656, 336)","[(656, 316), (656, 356)]",,,
"(656, 356)","[(656, 376), (656, 336)]",,,
"(656, 376)","[(656, 396), (656, 356)]",,,
"(656, 396)","[(656, 376), (656, 416)]",,,
"(656, 416)","[(636, 416), (656, 396), (656, 436)]",,,
"(656, 436)","[(656, 416)]",,,
"(636, 416)","[(616, 416), (656, 416)]",,,
"(616, 416)","[(636, 416), (596, 416)]",,,
"(596, 416)","[(616, 416), (576, 416)]",,,
"(576, 416)","[(576, 436), (596, 416)]",,,
"(576, 436)","[(576, 456), (576, 416)]",,,
"(576, 456)","[(576, 436), (576, 476)]",,,
"(576, 476)","[(576, 456), (576, 496)]",,,
"(576, 496)","[(576, 476), (576, 516)]",,,
"(576, 516)","[(576, 496), (576, 536)]",,,
"(576, 536)","[(556, 536), (576, 516)]",,,
"(556, 536)","[(536, 536), (576, 536)]",,,
"(536, 536)","[(556, 536), (516, 536)]",,,
"(516, 536)","[(536, 536), (496, 536)]",,,
"(496, 536)","[(496, 516), (516, 536)]",,,
"(496, 516)","[(496, 496), (496, 536)]",,,
"(496, 496)","[(496, 516), (496, 476)]",,,
"(496, 476)","[(496, 496), (476, 476)]",,,
"(476, 476)","[(456, 476), (496, 476)]",,,
"(456, 476)","[(436, 476), (476, 476)]",,,
"(436, 476)","[(456, 476), (416, 476)]",,,
"(416, 476)","[(436, 476), (416, 456)]",,,
"(416, 456)","[(416, 436), (416, 476)]",,,
"(416, 436)","[(416, 416), (416, 456)]",,,
"(416, 416)","[(416, 436), (416, 396)]",,,
"(416, 396)","[(416, 416), (416, 376)]",,,
"(416, 376)","[(416, 356), (416, 396)]",,,
"(416, 356)","[(416, 336), (416, 376)]",,,
"(416, 336)","[(416, 356), (416, 316)]",,,
"(416, 316)","[(416, 336), (416, 296)]",,,
"(416, 296)","[(416, 276), (416, 316)]",,,
"(416, 276)","[(416, 256), (416, 296)]",,,
"(416, 256)","[(416, 276), (416, 236)]",,,
"(416, 236)","[(416, 256), (416, 216)]",,,
"(416, 216)","[(416, 196), (416, 236)]",,,
"(416, 196)","[(416, 176), (416, 216)]",,,
"(416, 176)","[(416, 196), (416, 156)]",,,
"(416, 156)","[(416, 176), (416, 136)]",,,
"(416, 136)","[(416, 116), (416, 156)]",,,
"(416, 116)","[(416, 96), (416, 136)]",,,
"(416, 96)","[(416, 116), (396, 96)]",,,
"(396, 96)","[(416, 96), (376, 96)]",,,
"(376, 96)","[(356, 96), (396, 96)]",,,
"(356, 96)","[(336, 96), (376, 96)]",,,
"(336, 96)","[(356, 96), (336, 76)]",,,
"(336, 76)","[(336, 96), (316, 76)]",,,
"(316, 76)","[(296, 76), (336, 76)]",,,
"(296, 76)","[(276, 76), (316, 76)]",,,
"(276, 76)","[(296, 76), (256, 76)]",,,
"(256, 76)","[(256, 96), (276, 76), (256, 56)]",,,
"(256, 96)","[(256, 76), (256, 116)]",,,
"(256, 116)","[(256, 96), (256, 136)]",,,
"(256, 136)","[(256, 156), (256, 116)]",,,
"(256, 156)","[(256, 176), (256, 136)]",,,
"(256, 176)","[(256, 156)]",,,
"(256, 56)","[(256, 76), (236, 56)]",,,
"(236, 56)","[(216, 56), (256, 56)]",,,
"(216, 56)","[(196, 56), (236, 56)]",,,
"(196, 56)","[(216, 56), (176, 56)]",,,
"(176, 56)","[(196, 56), (176, 76)]",,,
"(176, 76)","[(176, 96), (176, 56)]",,,
"(176, 96)","[(176, 116), (176, 76)]",,,
"(176, 116)","[(176, 96), (176, 136)]",,,
"(176, 136)","[(176, 116), (176, 156)]",,,
"(176, 156)","[(176, 176), (176, 136)]",,,
"(176, 176)","[(176, 196), (176, 156)]",,,
"(176, 196)","[(176, 176), (176, 216)]",,,
"(176, 216)","[(176, 196), (176, 236)]",,,
"(176, 236)","[(176, 256), (176, 216)]",,,
"(176, 256)","[(176, 276), (176, 236)]",,,
"(176, 276)","[(176, 256), (196, 276)]",,,
"(196, 276)","[(176, 276), (216, 276)]",,,
"(216, 276)","[(236, 276), (196, 276)]",,,
"(236, 276)","[(256, 276), (216, 276)]",,,
"(256, 276)","[(236, 276), (256, 296)]",,,
"(256, 296)","[(256, 276), (256, 316)]",,,
"(256, 316)","[(256, 336), (256, 296)]",,,
"(256, 336)","[(256, 356), (256, 316)]",,,
"(256, 356)","[(256, 336), (256, 376)]",,,
"(256, 376)","[(256, 396), (256, 356), (236, 376)]",,,
"(236, 376)","[(216, 376), (256, 376)]",,,
"(216, 376)","[(236, 376)]",,,
"(256, 396)","[(256, 416), (256, 376)]",,,
"(256, 416)","[(256, 396), (256, 436)]",,,
"(256, 436)","[(256, 456), (256, 416)]",,,
"(256, 456)","[(256, 476), (256, 436)]",,,
"(256, 476)","[(256, 456), (276, 476)]",,,
"(276, 476)","[(256, 476), (296, 476)]",,,
"(296, 476)","[(316, 476), (276, 476)]",,,
"(316, 476)","[(336, 476), (296, 476)]",,,
"(336, 476)","[(356, 476), (316, 476)]",,,
"(356, 476)","[(356, 496), (336, 476)]",,,
"(356, 496)","[(356, 476), (356, 516)]",,,
"(356, 516)","[(356, 496), (336, 516)]",,,
"(336, 516)","[(336, 536), (356, 516)]",,,
"(336, 536)","[(336, 556), (336, 516)]",,,
"(336, 556)","[(336, 536), (336, 576)]",,,
"(336, 576)","[(336, 556), (336, 596)]",,,
"(336, 596)","[(336, 616), (336, 576)]",,,
"(336, 616)","[(336, 636), (336, 596)]",,,
"(336, 636)","[(336, 616), (336, 656)]",,,
"(336, 656)","[(336, 636), (336, 676)]",,,
"(336, 676)","[(336, 696), (336, 656)]",,,
"(336, 696)","[(336, 716), (336, 676)]",,,
"(336, 756)","[(336, 736), (356, 756), (316, 756)]",,,
"(316, 756)","[(336, 756), (296, 756)]",,,
"(296, 756)","[(316, 756)]",,,
"(356, 756)","[(336, 756), (376, 756)]",,,
"(376, 756)","[(356, 756), (396, 756)]",,,
"(396, 756)","[(376, 756), (396, 776)]",,,
"(396, 776)","[(396, 756)]",,,
